country,year,real_rate_cs
AT,2000,3.38268623348486
AT,2001,1.31271621377454
AT,2002,1.64578471017191
AT,2003,0.73299730682473
AT,2004,0.2720380364097399
AT,2005,-0.2819678465729698
AT,2006,1.45538002042383
AT,2007,1.74072911243977
AT,2008,0.5662092867931701
AT,2009,-0.73939280154138
AT,2010,0.1086613050903509
AT,2011,-0.81993743804168
AT,2012,-1.34166476490424
AT,2013,-1.45872288191161
AT,2014,-1.95674413208939
AT,2015,-2.24263470154871
AT,2016,-1.81475082333313
AT,2017,-0.975317906732371
AT,2018,-1.81047996133594
AT,2019,-1.47368502823586
AT,2020,-2.59313253599376
AT,2021,-1.9261293509801
AT,2022,-2.25477807605142
BE,2000,2.73540791324683
BE,2001,1.26718188222731
BE,2002,1.11000191737288
BE,2003,0.1498837301128199
BE,2004,0.08501138975771
BE,2005,0.1669266605035799
BE,2006,1.2352838106673798
BE,2007,2.06832164042565
BE,2008,0.59113062646371
BE,2009,0.218178825716947
BE,2010,-0.70310444520605
BE,2011,-1.29252172328242
BE,2012,-1.4557364240318802
BE,2013,-1.16248965471736
BE,2014,-0.7903957400635989
BE,2015,-1.07183851916816
BE,2016,-1.89528913569444
BE,2017,-1.98316343604859
BE,2018,-1.71728236623039
BE,2019,-1.85424076568934
BE,2020,-1.59611667576401
BE,2021,-2.74262712757394
BE,2022,-4.34397581715184
CY,2000,2.00654867796632
CY,2001,-0.4102915171235302
CY,2002,2.45362174767358
CY,2003,-3.38768406624574
CY,2004,-0.70929887023898
CY,2005,0.2304748631099498
CY,2006,0.4138936108669799
CY,2007,-0.1380543649480499
CY,2008,-2.23462416894996
CY,2009,0.73710105124826
CY,2010,-0.8813820394331799
CY,2011,-0.61624990522182
CY,2012,-0.92877931009221
CY,2013,1.187738949964341
CY,2014,1.38826573105922
CY,2015,0.804231430452322
CY,2016,0.574742494242457
CY,2017,-1.02039376290533
CY,2018,-1.02575360460912
CY,2019,-1.35008643696904
CY,2020,1.20792435222243
CY,2021,-3.04273022296344
CY,2022,-4.20926670266638
DE,2000,5.093812764756009
DE,2001,1.81701047701786
DE,2002,1.25069121791852
DE,2003,0.67821832728498
DE,2004,0.8449407215512099
DE,2005,1.715683494867548
DE,2006,3.053000174601451
DE,2007,2.16044496572549
DE,2008,1.552160117655205
DE,2009,-0.994704074292
DE,2010,0.317501449835248
DE,2011,-0.2319349009084399
DE,2012,-0.68207639952682
DE,2013,-1.74503160336462
DE,2014,-1.85082490446211
DE,2015,-1.63539776821872
DE,2016,-1.25625863629057
DE,2017,-1.46798916726962
DE,2018,-1.86533423151265
DE,2019,-2.01597612276328
DE,2020,-1.75504599873261
DE,2021,-2.80292936590148
DE,2022,-3.59185663198414
EE,2000,1.06529745007931
EE,2001,-3.59871839467411
EE,2002,-2.05387804769032
EE,2003,-1.88938564810275
EE,2004,-2.68945896823254
EE,2005,-3.67389435266909
EE,2006,-5.47863765026128
EE,2007,-8.3541655693122
EE,2008,-4.29510897052367
EE,2009,1.387627029587321
EE,2010,-0.81653769106526
EE,2011,-4.53917467550018
EE,2012,-3.4555298137984103
EE,2013,-3.8739538903665496
EE,2014,-2.8065430839338403
EE,2015,-1.25643907694559
EE,2016,-2.43852660721117
EE,2017,-3.74109847269489
EE,2018,-4.84907461768212
EE,2019,-3.8226798680774
EE,2020,-0.753338456718083
EE,2021,-5.37232986473111
EE,2022,-13.282419402399
ES,2000,1.33724791650482
ES,2001,-0.9123132762129398
ES,2002,-1.3417022703432098
ES,2003,-2.0039657254291496
ES,2004,-1.9116657619694
ES,2005,-1.96292340639742
ES,2006,-0.5724888213377
ES,2007,0.4387659017276899
ES,2008,0.04795634589617
ES,2009,0.768716908223936
ES,2010,0.7071622687266059
ES,2011,1.145958771821014
ES,2012,0.952954992229195
ES,2013,-0.188175032697188
ES,2014,0.27068679671149
ES,2015,-0.502441816045786
ES,2016,-0.372182539615821
ES,2017,-1.25794431812474
ES,2018,-1.18735470237598
ES,2019,-1.42867123652391
ES,2020,-1.13391454164042
ES,2021,-2.55611236501613
ES,2022,-2.21187421007816
FI,2000,3.11260756732361
FI,2001,-0.05463108407764
FI,2002,1.806866755963185
FI,2003,1.810017046079864
FI,2004,1.397760209316232
FI,2005,1.320625712057222
FI,2006,2.579819786491015
FI,2007,1.24560175457226
FI,2008,-0.5375864160711101
FI,2009,-0.77522561944836
FI,2010,0.651127053575195
FI,2011,-1.60092840038482
FI,2012,-2.19534602282646
FI,2013,-2.31139415952232
FI,2014,-1.59467051608914
FI,2015,-1.58270237918134
FI,2016,-0.05519539775689
FI,2017,-0.836045933090816
FI,2018,-1.98705901186365
FI,2019,-1.48185903627636
FI,2020,-1.63841596860614
FI,2021,-2.49284202465265
FI,2022,-3.67278075702792
FR,2000,3.33242666231585
FR,2001,1.34760202488465
FR,2002,0.6857220767031298
FR,2003,0.19862055188682
FR,2004,0.3663606902341201
FR,2005,0.28789663656357
FR,2006,1.50262046863988
FR,2007,1.61496979672761
FR,2008,0.19920081237461
FR,2009,0.894038860725857
FR,2010,-0.0894464238029999
FR,2011,0.148521636795238
FR,2012,-0.33204690089583
FR,2013,-0.497875807422233
FR,2014,-0.520795054388284
FR,2015,-1.08444009013935
FR,2016,-0.517258232209031
FR,2017,-0.586343157961707
FR,2018,-1.11459331332806
FR,2019,-1.21052308336793
FR,2020,-2.97797868174696
FR,2021,-1.22181614073425
FR,2022,-0.7206321699229901
GR,2000,3.1311994867336903
GR,2001,-0.2206870164898902
GR,2002,-0.2036564232031601
GR,2003,-1.55858829752319
GR,2004,-0.96881070204127
GR,2005,0.3495821107407799
GR,2006,0.13546399174305
GR,2007,0.63289620661403
GR,2008,-1.5628888489062698
GR,2009,-1.36843430509732
GR,2010,-0.18092065228493
GR,2011,0.0233421971389019
GR,2012,1.084569925784251
GR,2013,2.2103216018036003
GR,2014,1.97347455777482
GR,2015,0.2247537326421589
GR,2016,0.489961144384012
GR,2017,-0.2036135315862
GR,2018,0.234800451317412
GR,2019,-0.245015781395267
GR,2020,0.363959702932064
GR,2021,-1.39275644673982
GR,2022,-3.99582431023742
HR,2000,0.3991153879031204
HR,2001,-0.9780855968025896
HR,2002,-1.09070455117511
HR,2003,-2.30049516603847
HR,2004,-1.62413483551181
HR,2005,-0.8643695251055599
HR,2006,-0.3806237267985799
HR,2007,-0.2862698076885097
HR,2008,-3.02922978301194
HR,2009,-1.98499874568037
HR,2010,0.079886850570247
HR,2011,-0.6693450504257299
HR,2012,-0.66145606381943
HR,2013,-0.48288886582057
HR,2014,-0.0765445200725849
HR,2015,-0.07437215819854
HR,2016,-0.0151130697192627
HR,2017,-1.23163897621677
HR,2018,-2.02559756591751
HR,2019,-1.98838183285723
HR,2020,-0.803359807884533
HR,2021,-2.08111752959877
HR,2022,-5.51280669780672
IE,2000,-2.1249503192401704
IE,2001,-3.609685812897
IE,2002,-2.4369023415755704
IE,2003,-1.91173085426291
IE,2004,1.4846622926110769
IE,2005,-0.8232102059499802
IE,2006,0.0801032971917798
IE,2007,2.80151050649381
IE,2008,3.004526765679074
IE,2009,5.624598995889
IE,2010,3.85830310917899
IE,2011,-0.86453750802245
IE,2012,-1.68515150873688
IE,2013,-1.08941349781583
IE,2014,-0.210925697359397
IE,2015,-8.85845066754397
IE,2016,-0.119373802131435
IE,2017,-1.49993727186828
IE,2018,-0.924336877126677
IE,2019,-3.39169585174939
IE,2020,1.92433936175075
IE,2021,-1.09810280913958
IE,2022,-4.26287575128831
IT,2000,2.99397119825574
IT,2001,0.1860202592376398
IT,2002,-0.5550076247814801
IT,2003,-1.16726436365273
IT,2004,-0.6297604274694901
IT,2005,0.1657954698452499
IT,2006,1.28410857208965
IT,2007,1.53325507958266
IT,2008,0.09540503154096
IT,2009,-0.7725353539750901
IT,2010,0.402160297083441
IT,2011,-0.7287837088573801
IT,2012,-0.95237982317502
IT,2013,-0.87578403623358
IT,2014,-0.852550708834269
IT,2015,-0.7327764777408959
IT,2016,-1.24817184167345
IT,2017,-0.709821715080693
IT,2018,-1.07058151640653
IT,2019,-1.04700690430435
IT,2020,-1.57740278796771
IT,2021,-1.28332187292641
IT,2022,-0.95535917134771
LT,2000,3.41832659952513
LT,2001,3.566237571319192
LT,2002,2.434846410707479
LT,2003,2.812341044571113
LT,2004,-1.12114639733218
LT,2005,-4.12315052014824
LT,2006,-2.9850685026562003
LT,2007,-4.91210801006264
LT,2008,-7.21607892640327
LT,2009,4.08953248731058
LT,2010,-1.12172150752954
LT,2011,-4.62227904002557
LT,2012,-1.75518093222925
LT,2013,-0.583827550890589
LT,2014,-0.559190658206288
LT,2015,0.0522527821753755
LT,2016,-0.987472424308564
LT,2017,-4.09579153130848
LT,2018,-3.59301167619761
LT,2019,-2.37586014042606
LT,2020,-2.03874418596244
LT,2021,-5.99976656722365
LT,2022,-13.5665428207157
LU,2000,0.1415264999900101
LU,2001,2.459926184337476
LU,2002,1.2855897884864
LU,2003,-0.1859765505310098
LU,2004,-1.1173285931249
LU,2005,-2.56732696675937
LU,2006,-2.9546748612743103
LU,2007,2.10751910534204
LU,2008,-4.10996479623324
LU,2009,0.129312029093413
LU,2010,-3.64841750360225
LU,2011,-2.44946182436412
LU,2012,-2.51597721899194
LU,2013,-2.02602508879494
LU,2014,-2.74670142376848
LU,2015,-2.16918090837401
LU,2016,1.10761662343417
LU,2017,-2.14290452657747
LU,2018,-1.83958806564863
LU,2019,-0.916370421543562
LU,2020,-3.86906326889533
LU,2021,-5.90212972470607
LU,2022,-3.71752167262224
LV,2000,0.9750837246778898
LV,2001,0.6268030945960401
LV,2002,-0.5090042864353999
LV,2003,-1.64549702476506
LV,2004,-4.92499119111602
LV,2005,-8.1953384763468
LV,2006,-6.726385069683699
LV,2007,-15.5504855610846
LV,2008,-9.8743988896519
LV,2009,6.7316239303985
LV,2010,1.483861317727076
LV,2011,-3.7081070974448895
LV,2012,-2.12856729481426
LV,2013,-1.65052969117932
LV,2014,-1.61994918996278
LV,2015,-0.33688741781985
LV,2016,-0.607930583315365
LV,2017,-2.70923995206107
LV,2018,-3.74027873968454
LV,2019,-4.31638188410186
LV,2020,-2.39332693904262
LV,2021,-3.29734326527044
LV,2022,-7.33538053436664
MT,2000,14.64868766410321
MT,2001,-1.1203577622894
MT,2002,0.1172434089833998
MT,2003,-0.0350904901848099
MT,2004,-0.5133639085819199
MT,2005,0.28543344626232
MT,2006,1.22769040104544
MT,2007,1.7597057268519798
MT,2008,-0.8732831962193899
MT,2009,-1.2464235361428
MT,2010,-1.76562917696803
MT,2011,-0.48287268081009
MT,2012,-1.40973974277171
MT,2013,-2.00574521031584
MT,2014,-2.22101333965535
MT,2015,-4.15024275785261
MT,2016,-2.12564879127972
MT,2017,-2.13502563545586
MT,2018,-1.79841671689434
MT,2019,-2.50640359192941
MT,2020,-1.86421393908336
MT,2021,-2.4475861350641
MT,2022,-2.5717474963963403
NL,2000,1.47986628775394
NL,2001,-1.1249918433342296
NL,2002,-1.12769356261167
NL,2003,-0.2860866288158399
NL,2004,0.80255027484132
NL,2005,0.27040986816945
NL,2006,0.92337885200143
NL,2007,1.95057247021204
NL,2008,0.08773385331365
NL,2009,0.5623394722722139
NL,2010,0.289727192951418
NL,2011,0.757344161809854
NL,2012,-0.57912962087366
NL,2013,-0.8949274411920001
NL,2014,-0.294078059275915
NL,2015,-0.838432954114009
NL,2016,-0.565543760069971
NL,2017,-1.43932706656167
NL,2018,-2.53340289331616
NL,2019,-3.02788370008784
NL,2020,-2.35573022306261
NL,2021,-2.74734329748038
NL,2022,-3.65557496508328
PT,2000,1.32973033303307
PT,2001,-0.4659829933747201
PT,2002,-1.4397809088295297
PT,2003,-1.42715357062571
PT,2004,-0.3996148286703098
PT,2005,-1.0829038947892
PT,2006,0.3154585033861101
PT,2007,1.03365422563768
PT,2008,0.7622751214794199
PT,2009,-0.0981346533515099
PT,2010,0.217864146944464
PT,2011,1.260435396491971
PT,2012,1.126402197541935
PT,2013,-2.02438669661049
PT,2014,-0.6744567709907839
PT,2015,-1.9124469996234
PT,2016,-1.85408704173796
PT,2017,-1.53220042451687
PT,2018,-1.85237243801184
PT,2019,-1.83436778363703
PT,2020,-2.10314336719686
PT,2021,-2.01977614131548
PT,2022,-2.82749909841736
SI,2000,-0.7860617536979797
SI,2001,-5.450008102321661
SI,2002,-4.86980959695788
SI,2003,-3.66345775944367
SI,2004,-1.35817227706201
SI,2005,0.7470030074392
SI,2006,1.2763975159687702
SI,2007,-0.2002517371673802
SI,2008,-2.0050148735517404
SI,2009,-1.73283928388418
SI,2010,1.491469444600767
SI,2011,-0.3645204070481
SI,2012,0.123381409177526
SI,2013,-0.8827971878507299
SI,2014,-0.581551450779483
SI,2015,-0.817198319325425
SI,2016,-0.885482436856336
SI,2017,-1.28763102357318
SI,2018,-2.18095370305853
SI,2019,-2.33858654999968
SI,2020,-1.18953318282115
SI,2021,-2.689963166735
SI,2022,-4.01714978292448
SK,2000,-4.931180821251891
SK,2001,-2.1252294642005403
SK,2002,-1.2962365917944396
SK,2003,-3.44607964570642
SK,2004,-3.90529858973181
SK,2005,-0.3965669119041899
SK,2006,0.60446051181543
SK,2007,2.82227247612609
SK,2008,-0.4853625083059301
SK,2009,2.12257244186777
SK,2010,0.529471446730298
SK,2011,-0.61977051205542
SK,2012,-0.58888239127128
SK,2013,-0.284061870297393
SK,2014,0.1826025188437819
SK,2015,0.2356928276854289
SK,2016,0.390909342389534
SK,2017,-1.18187258373648
SK,2018,-2.10864838172743
SK,2019,-2.40120783642419
SK,2020,-2.40777956608554
SK,2021,-2.24388381566803
SK,2022,-4.98889900247143
